País,Capture,Aquicultura,Total
China,17800000,63700000,81500000
Indonesia,6584419,16600000,23200000
India,5082332,5703002,10800000
Vietnam,2785940,3634531,6420471
United States,4931017,444369,5375386
Russia,4773413,173840,4947253
Japan,3275263,1067994,4343257
Philippines,2027992,2200914,4228906
Peru,3811802,100187,3911989
Bangladesh,1674770,2203554,3878324
Norway,2203360,1326216,3529576
South Korea,1395951,1859220,3255171
Myanmar,2072390,1017644,3090034
Chile,1829238,1050117,2879355
Thailand,1530583,962571,2493154
Malaysia,1584371,407887,1992258
Mexico,1524467,221328,1745795
Egypt,335614,1370660,1706274
Morocco,1454105,1142,1455247
Brazil,705000,581230,1286230
Spain,915137,283831,1198968
Ecuador,715495,451090,1166585
Iceland,1085176,15129,1100305
Iran,695407,398129,1093536
Canada,874727,200765,1075492
Nigeria,734731,306727,1041458
United Kingdom,702405,194492,896897
Cambodia,629950,172500,802450
North Korea,209000,554100,763100
Argentina,755226,3673,758900
France,561173,166640,727813
Denmark,670344,36337,706681
Pakistan,513156,156430,669586
Faroe Islands,568435,83300,651735
South Africa,622070,7994,630064
Mauritania,609754,0,609754
Turkey,335326,250331,585657
Sri Lanka,521637,30974,552611
New Zealand,424791,109016,533807
Uganda,389244,118051,507295
Namibia,503878,591,504469
Angola,486490,655,487145
Senegal,474162,2079,476241
Netherlands,370274,62940,433214
Tanzania,370966,12547,383514
Ghana,327457,52480,379937
Italy,198130,157109,355239
Papua New Guinea,309245,6200,315445
Germany,271185,41721,312906
Venezuela,284175,25998,310173
Mozambique,299591,1180,300771
Ireland,259845,40244,300089
Oman,279606,103,279709
Greenland,273175,0,273175
Australia,174629,96847,271477
Poland,218115,38300,256415
Democratic Republic of the Congo,237372,3161,240533
Cameroon,233190,2315,235505
Sweden,208783,15747,224530
Finland,192065,14412,206477
Sierra Leone,202100,75,202175
Greece,76362,123410,199772
Portugal,186950,9787,196737
Kenya,171391,15360,186751
Colombia,86344,96970,183314
Laos,70915,109835,180750
Kiribati,172822,3652,176474
Madagascar,142333,25998,168331
Malawi,152852,7646,160498
Yemen,154450,0,154450
Panama,144450,8808,153258
Hong Kong,142775,4258,147033
Tunisia,115064,16165,131229
Maldives,129191,0,129191
Guinea,128000,250,128250
Seychelles,127128,0,127128
Latvia,114806,788,115594
Zambia,83918,30285,114203
Lithuania,106945,4393,111338
Chad,110000,94,110094
Saudi Arabia,68082,39920,108002
Mali,102486,4194,106680
Ukraine,75743,21425,97168
Algeria,95000,1361,96361
Belize,91432,953,92385
Federated States of Micronesia,88397,0,88397
Croatia,72312,15805,88116
Republic of the Congo,86748,177,86925
Solomon Islands,66445,10582,77027
Estonia,75931,868,76799
United Arab Emirates,73000,1241,74241
Ivory Coast,67500,4701,72201
Nepal,21500,49043,70543
Nicaragua,45500,22530,68030
Saint Kitts and Nevis,65734,1,65735
Uzbekistan,27267,38055,65322
Marshall Islands,64795,5,64800
Honduras,10600,53100,63700
El Salvador,54084,7956,62040
Gambia,58261,5,58296
Iraq,28000,28835,56835
Benin,49806,3080,52886
Cuba,23574,29185,52759
Uruguay,51500,70,51570
Suriname,47013,102,47115
Ethiopia,45500,95,45595
Fiji,44663,754,45417
Guatemala,19011,26268,45279
Vanuatu,44002,16,44018
Kazakhstan,41335,1878,43213
Guyana,42142,337,42478
Sudan,33002,4500,37502
Costa Rica,14750,22421,37171
Curaçao,35534,0,35534
South Sudan,35000,20,35020
Niger,34592,300,34892
Togo,31891,98,31989
Gabon,31000,45,31045
Georgia,30078,670,30748
Libya,30002,10,30012
Somalia,30000,0,30000
Central African Republic,29000,190,29190
Belgium,26970,44,27014
Rwanda,25013,580,26593
Zimbabwe,15711,10085,25796
Paraguay,17000,8500,25500
Romania,12728,12574,25302
Czech Republic,3507,20952,24459
Bulgaria,8614,15762,24376
Burundi,21805,1330,23135
Saint Vincent and the Grenadines,23077,0,23077
Burkina Faso,22070,470,22540
Hungary,5048,16248,21296
Israel,1758,18914,20672
Armenia,3758,16381,20139
Cape Verde,19900,0,19900
Mauritius,18062,1021,19083
